gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ABSLFC,FC
gene_4133,536.097853417929,0.947314537178494,0.253462578431971,3.73749270223239,1.85864482969798e-4,8.25869696161394e-4,0.947314537178494,1.92827997433305
gene_1165,299.908351762734,1.12911282507168,0.302621511751877,3.73110562608468,1.90641266426226e-4,8.4605329957545e-4,1.12911282507168,2.18724196018306
gene_1586,563.064983346854,-1.10147043363448,0.295264104971171,-3.73045830864549,1.91131770661959e-4,8.47030381789672e-4,1.10147043363448,-2.14573279958178
gene_3621,1648.26673896711,0.704338018863733,0.188808968399238,3.73042671031604,1.91155744604723e-4,8.47030381789672e-4,0.704338018863733,1.62939684392397
gene_3845,418.637534267118,0.808998260601979,0.216936263690776,3.72919790743301,1.92090243568038e-4,8.50516493828943e-4,0.808998260601979,1.75199451782531
gene_573,295.041887336369,-1.78692178943601,0.479784143345515,-3.72442860861528,1.95758098146882e-4,8.66090401947312e-4,1.78692178943601,-3.45077830146687
gene_3488,640.316197543523,0.905538821960076,0.243191896619276,3.72355672433331,1.96435700323037e-4,8.68420807265283e-4,0.905538821960076,1.87324398887575
gene_2666,210.392471094673,1.08640444479622,0.291865386870876,3.72227915219304,1.97432572549527e-4,8.72158010433674e-4,1.08640444479622,2.12344161960199
gene_847,4910.36634916447,1.48689407043198,0.399573533017551,3.72120260119098,1.98276279031266e-4,8.75213391184024e-4,1.48689407043198,2.80284909202404
gene_4532,169.11551560027,1.04507708970285,0.281349493524488,3.71451562471672,2.03593290808006e-4,8.97994622138606e-4,1.04507708970285,2.06347661651917
gene_1989,1586.03081724997,1.63968114316584,0.441802399295769,3.711345039727,2.06160859882939e-4,9.08623207876107e-4,1.63968114316584,3.11596956740496
gene_1818,691.94333789123,0.806904619187688,0.217457075764213,3.71063860006381,2.06737069690897e-4,9.10465625968482e-4,0.806904619187688,1.74945386444784
gene_2225,984.253252408443,0.95026987295305,0.256426069582323,3.70582396127231,2.10704615231015e-4,9.26520829083056e-4,0.95026987295305,1.9322340709901
gene_4661,132.736448819808,-1.19531171608599,0.322736637199921,-3.70367531389238,2.12498206587313e-4,9.33694410012651e-4,1.19531171608599,-2.28994304458199
gene_4705,826.694063429251,0.703057324286409,0.189848245107765,3.70325953704407,2.12846929348576e-4,9.34513291632651e-4,0.703057324286409,1.6279510541356501
gene_4032,30.4679009736953,-2.04616120286803,0.552806604631359,-3.70140513106301,2.14408821197427e-4,9.40653334460663e-4,2.04616120286803,-4.13005559746854
gene_1671,3147.59212176578,0.861733164022193,0.232922077254373,3.69966288374245,2.1588604631191e-4,9.46412858013218e-4,0.861733164022193,1.81722009495198
gene_2012,224.633720079132,-0.912087025702517,0.246588257015864,-3.69882587573439,2.16599126189284e-4,9.48816263581065e-4,0.912087025702517,-1.88176572276155
gene_4109,19.6631381724901,3.41512564078868,0.923368941438799,3.69854939615709,2.16835155456108e-4,9.49127874376697e-4,3.41512564078868,10.6673183669907
gene_3537,147.132768980395,-1.09209784950395,0.295303996446307,-3.69821561051078,2.17120428401232e-4,9.49654396563442e-4,1.09209784950395,-2.13183805724683
gene_3182,280.587510151234,-1.44742443702482,0.39173345175056,-3.69492171413148,2.19954546713615e-4,9.61319947519791e-4,1.44742443702482,-2.72720743369125
gene_3795,1012.62875004315,-1.277638155263,0.345879693717217,-3.69388020884385,2.20857876414039e-4,9.63804349233667e-4,1.277638155263,-2.424417489688
gene_2084,258.149599876182,1.04805375515497,0.28371950590886,3.69397850104686,2.20772475944623e-4,9.63804349233667e-4,1.04805375515497,2.06773851548176
gene_2519,539.548949184215,-0.79527516195905,0.215508572710932,-3.69022518201991,2.2405562769006e-4,9.7701832801817e-4,0.79527516195905,-1.73540833324424
gene_4458,345.013222250297,1.17522075669541,0.319282424770539,3.68081881594333,2.32486167588818e-4,0.00101224688399488,1.17522075669541,2.25827433727137
gene_620,67.0605155625861,2.20332659496623,0.598655565239883,3.68045788413134,2.32815511891616e-4,0.00101291465339995,2.20332659496623,4.60540041039737
gene_2873,1273.86413364661,1.02272514162995,0.278030620864607,3.67846224437266,2.34644417033584e-4,0.00101920754343761,1.02272514162995,2.03175316497604
gene_4108,89.5428240269578,-1.5828465183962,0.430320052446845,-3.67830062623382,2.34793120673779e-4,0.00101920754343761,1.5828465183962,-2.99560316363199
gene_956,3306.06043071988,0.800974743686439,0.217790413472064,3.67773186577461,2.35317136403372e-4,0.00102071246204809,0.800974743686439,1.74227788310412
gene_3455,703.824534688549,-1.10361874825035,0.300569948989826,-3.67175345359528,2.40892016169566e-4,0.00104410726285544,1.10361874825035,-2.1489303866417
gene_3371,3158.13760426628,-1.39410388859326,0.379822442111617,-3.67040947039032,2.42162227210712e-4,0.00104882300965001,1.39410388859326,-2.62825250817242
gene_1150,488.139764237323,-1.04994345395423,0.286438757581962,-3.66550763876218,2.4684844283032e-4,0.00106831551648971,1.04994345395423,-2.07044869541025
